"filename", "language", "Dart", "YAML", "JSON", "C++", "CMake", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\presentation\stock_changer_presentation_manager.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 165
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stockChangeEntity.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stockChangeEntity.g.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stockChangeMapper.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stock_change_controller.dart", "Dart", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 162
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stock_change_datasource.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 122
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stock_change_mapper.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\features\stock_change\stock_change_repository.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 132
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\main.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 59
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\ninob\Documents\stockcontrollerterminal\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 4, 25
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\ninob\Documents\stockcontrollerterminal\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ninob\Documents\stockcontrollerterminal\pubspec.yaml", "YAML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 16, 109
"c:\Users\ninob\Documents\stockcontrollerterminal\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ninob\Documents\stockcontrollerterminal\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\Users\ninob\Documents\stockcontrollerterminal\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ninob\Documents\stockcontrollerterminal\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 3728, 83, 330, 552, 42, 160, 64, 38, 463, 8, 90, 565, 925, 7048
